Maureen L. Stanton,F,AAAS
Joan E. Strassmann,F,AAAS
Sharon Y. Strauss,F,AAAS
Alan R. Templeton,M,AAAS
John W. Terborgh,M,AAAS
Elizabeth Alison Thompson,F,AAAS
John N. Thompson,M,AAAS
G. David Tilman,M,AAAS
Joseph Travis,M,AAAS
Michael Turelli,M,AAAS
James William Valentine,M,AAAS
Sandra L. Vehrencamp,F,AAAS
Michael J. Wade,M,AAAS
Paul Edward Waggoner,M,AAAS
Gunter P. Wagner,M,AAAS
Peter C. Wainwright,M,AAAS
David B. Wake,M,AAAS
Marvalee H. Wake,F,AAAS
Alan Cyril Walker,M,AAAS
Diana Harrison Wall,F,AAAS
Bess B. Ward,F,AAAS
John H. Werren,M,AAAS
Mary Jane West-Eberhard,F,AAAS
Timothy D. White,M,AAAS
Michael C. Whitlock,M,AAAS
Edward O. Wilson,M,AAAS
John C. Wingfield,M,AAAS
George Masters Woodwell,M,AAAS
