Sarah P Otto, F, Science, 0
Michael Whitlock, M, Science, 0
Hopi Hoekstra, F, Science, 0
Joan Strassman, F, Science, 0
Steffi Graf, F, Tennis, 0
Nowak Djokovich, M, Tennis, 0
Rafael Nadal, M, Tennis, 0
Terrence Tao, M, Science, 0
