Jared Rutter
Stephan Saalfeld
Bernardo Sabatini
David Sabatini
Pardis Sabeti
Robert Sah
Philippe Sansonetti
Charles Sawyers
Massimo Scanziani
David Schatz
Louis Scheffer
Randy Schekman
Alanna Schepartz
Alejandro Schinder
Mark Schnitzer
Stuart Schreiber
Brenda Schulman
John Scott
Amita Sehgal
Christine Seidman
Terrence Sejnowski
Geraldine Seydoux
Michael Shadlen
Charles Shank
Feng Shao
Kang Shen
Jay Shendure
Krishna Shenoy
Charles Sherr
Kevan Shokat
Gerald Shulman
Robert Siliciano
Eero Simoncelli
Robert Singer
Dominique Soldati-Favre
Nahum Sonenberg
Rocio Sotillo
Allan Spradling
Nelson Spruston
Tim Stearns
Joan Steitz
Thomas Steitz
Hermann Steller
David Stern
Paul Sternberg
Scott Sternson
Scott Strobel
Natalie Strynadka
Michael Summers
Karel Svoboda
Jack Szostak
Alejandro Sánchez Alvarado
Thomas Südhof
Michael Tadross
Joseph Takahashi
Chun Tang
J. Paul Taylor
Julie Theriot
Robert Tjian
Susumu Tonegawa
Peter Tontonoz
Keiko Torii
James Truman
Doris Tsao
Roger Tsien
Srinivas Turaga
Thomas Tuschl
Ronald Vale
Wilfred van der Donk
Russell Vance
Rosella Visintin
Bert Vogelstein
Leslie Vosshall
Matthew Waldor
Bruce Walker
Graham Walker
Christopher Walsh
David Walt
Johannes Walter
Peter Walter
Tobias Walther
Michelle Wang
Xiaochen Wang
Matthew Warman
Isiah Warner
Arthur Weiss
Jonathan Weissman
Michael Welsh
Susan Wessler
Jennifer West
Eric Wieschaus
Huntington Willard
Rachel Wilson
Owen Witte
Carl Wu
Joanna Wysocka
Karina Xavier
Tian Xu
Yukiko Yamashita
Nieng Yan
Wayne Yokoyama
Hongtao Yu
Jennifer  Zallen
Muhammad Zaman
Phillip Zamore
Richard Zare
Hong Zhang
Yi Zhang
Ning Zheng
Bing Zhu
Xiaowei Zhuang
S. Zipursky
Marta Zlatic
Huda Zoghbi
Leonard Zon
Charles Zuker
