Mariano Sigman,M
Nellie McKay,F
Christina Warinner,F
Michael Bodekaer,M
Krista Tippett,F
Steven Strogatz,M
Ivan Oransky,M
Marc Koska,M
Catherine Mohr,F
JoAnn Kuchera-Morin,F
Louise Leakey,M
Steven Johnson,M
Kary Mullis,M
Christoph Adami,M
Spencer Wells,M
Richard Sears,M
Gero Miesenboeck,M
Garik Israelian,M
Robert Lee Hotz,M
Joel Levine,M
Jeremy Jackson,M
Edith Widder,F
Danny Hillis,M
Kwabena Boahen,M
Richard Preston,M
Charles Anderson,M
Nicholas Christakis,M
Jessica Green,F
Anil Ananthaswamy,M
Jonathan Drori,M
Michael Archer,M
Ami Klin,M
Rob Dunbar,M
Craig Venter,M
Charles Elachi,M
Tom Wujec,M
Charles Limb,M
Charity Tillemann-Dick,F
Dave deBronkart,M
Kary Mullis,M
George Whitesides,M
Jay Bradner,M
Bruce Aylward,M
Peter Diamandis,M
Nina Tandon,F
Gregory Stock,M
Marvin Minsky,M
Elizabeth Murchison,F
Bill Joy,M
Jane Goodall,F
Thomas Goetz,M
Jim Toomey,M
Paul Rothemund,M
Greg Stone,M
John Bohannon,M
Neil Turok,M
Emma Teeling,F
Simon Berrow,M
Rachel Pike,F
Anders Ynnerman,M
Daniel Kraft,M
Peter Diamandis,M
Sangeeta Bhatia,F
Tom Shannon,M
John Hockenberry,M
Mathieu Lehanneur,M
Luca Turin,M
Tyrone Hayes,M
Penelope Jagessar Chaffer,F
Zach Kaplan,M
Keith Schacht,M
Van Jones,M
Peter Tyack,M
Dyan deNapoli,F
Sheila Nirenberg,F
Joe DeRisi,M
Paul Ewald,M
Ellen 't Hoen,F
Eric Dishman,M
Ariel Garten,F
Robert Fischell,M
Barry Schuler,M
Dee Boersma,F
Ernest Madu,M
Kristina Gjerde,F
Barbara Block,F
Ken Goldberg,M
John Delaney,M
Hawa Abdi,F
Deqo Mohamed,F
Stephen Palumbi,M
Kristen Ashburn,F
Richard Pyle,M
Enric Sala,M
John Kasaona,M
Juliana Machado Ferreira,F
David Hoffman,M
Lee Smolin,M
Susan Shaw,F
Daniel Pauly,M
Bilal Bomani,M
